[00:00.730 --> 00:02.290]  How is it going?
[00:02.510 --> 00:03.110]  Yes, it is going.
[00:06.970 --> 00:09.410]  Yes, I am formatting it nicely.
[00:09.970 --> 00:10.890]  I have cracked all the Amazon links.
[00:12.690 --> 00:13.910]  You have to pay so much for a PM.
[00:16.830 --> 00:18.210]  When we searched, we thought,
[00:18.210 --> 00:19.630]  what is this Amazon link?
[00:20.110 --> 00:21.290]  The amount you have typed,
[00:22.210 --> 00:23.930]  you keep the normal font weight.
[00:24.310 --> 00:25.470]  The type that you are going to type,
[00:25.570 --> 00:27.230]  you keep the extra font weight.
[00:29.090 --> 00:34.030]  You have studied it well.
[00:55.550 --> 00:55.830]  Why?
[00:57.030 --> 00:58.010]  Should I give him a drop down?
[00:58.870 --> 01:00.030]  You can select it.
[01:03.290 --> 01:06.290]  You can also give me
[01:06.820 --> 01:09.250]  a minimum, a maximum.
[01:09.510 --> 01:10.010]  You have to give ranges.
[01:10.710 --> 01:11.870]  You select minimum.
[01:12.630 --> 01:13.690]  A maximum of 750.
[01:13.950 --> 01:15.150]  A maximum of 780.
[01:15.290 --> 01:16.310]  You don't know it.
[01:16.630 --> 01:18.190]  You have it in you.
[01:19.170 --> 01:19.910]  I have to give him both?
[01:20.890 --> 01:22.410]  Yes, you have to give him both.
[01:24.590 --> 01:26.390]  I want to know it accurately.
[01:27.030 --> 01:28.230]  Why are you doing this?
[01:30.150 --> 01:32.330]  You have to take one and drop it.
[01:32.730 --> 01:34.910]  You have to keep the minimum compulsive.
[01:35.270 --> 01:36.090]  We have to give a maximum of two.
[01:37.890 --> 01:39.330]  You can also recommend a maximum.
[01:39.330 --> 01:41.710]  Minimum if he gives 750,
[01:42.490 --> 01:43.430]  you have to give 750.
[01:44.450 --> 01:45.890]  And if he gives a maximum of 800,
[01:46.690 --> 01:47.950]  you have to give a range of 750 to 800.
[01:51.410 --> 01:53.630]  So when he gives a minimum of 750,
[01:53.950 --> 01:56.030]  he doesn't think that I have kept a minimum.
[01:56.710 --> 01:58.530]  Then the extra will come to me.
[01:58.930 --> 02:00.330]  Then he will give a maximum.
[02:05.940 --> 02:07.480]  Then I have to give a maximum?
[02:08.180 --> 02:11.340]  No, he will think that my rejection is more.
[02:13.080 --> 02:14.000]  If he thinks that my rejection is more,
[02:14.000 --> 02:14.400]  then he will give a limit.
[02:14.960 --> 02:16.060]  He will give a minimum.
[02:17.560 --> 02:21.140]  If he thinks that my rejection is more,
[02:22.240 --> 02:23.840]  then he will give a minimum of 760.
[02:27.200 --> 02:29.160]  If he gives a maximum of 760,
[02:29.160 --> 02:31.000]  then I have to give him only 760
[02:31.000 --> 02:32.500]  and not give him a maximum.
[02:33.080 --> 02:34.820]  And if he gives a maximum,
[02:34.820 --> 02:36.620]  then I have to give him a maximum of 760.
[02:37.660 --> 02:39.320]  This is what I like.
[02:44.730 --> 02:46.870]  You don't need to know your exact Sibyl score.
[02:47.130 --> 02:47.630]  Do you remember anything?
[02:48.630 --> 02:50.510]  Yes, I had around 700.
[02:50.910 --> 02:51.690]  But it's okay.
[02:51.910 --> 02:53.190]  680 to 700, I will give him.
[02:55.850 --> 02:57.390]  When he gives a maximum,
[02:57.710 --> 02:58.430]  he has to give a limit of 5.
[02:59.910 --> 03:01.290]  If he gives a maximum,
[03:01.650 --> 03:03.390]  if he gives a maximum of 760,
[03:03.970 --> 03:05.370]  then the maximum can be 700.
[03:06.090 --> 03:08.570]  In this case, we can't filter out
[03:08.570 --> 03:09.370]  what the rate is.
[03:09.550 --> 03:12.010]  We can't tell him.
[03:12.010 --> 03:14.890]  Because the bank tells us
[03:17.570 --> 03:19.230]  775 to 780.
[03:20.750 --> 03:22.270]  But we have to show him
[03:22.270 --> 03:22.850]  only one rate.
[03:23.450 --> 03:25.590]  Which is the lowest rate?
[03:25.730 --> 03:26.450]  On which basis?
[03:29.010 --> 03:30.410]  Basically, if I
[03:30.410 --> 03:31.970]  give a maximum limit of 25,
[03:32.550 --> 03:34.310]  then our filter will be correct.
[03:54.070 --> 03:55.190]  Do you know something?
[03:56.010 --> 04:00.250]  If you show me
[04:00.250 --> 04:01.610]  I will bring that score.
