start	end	text
2700	11980	I feel that all the symbols that I have to read, I have to use only legal language.
12820	17340	Versus it should be like a friendly lawyer who is in your team to help you out.
18400	21680	Language and all this should be understood.
22160	27620	For example, look at this. MCLR, BPLR, these are the things.
27620	33420	So here instead what I want is how the rate is decided.
33820	38560	Usually there are 5 or 6 agencies whose HR is taken.
39100	43940	And then I don't want any advantage or disadvantage from all these agencies.
44180	45720	I want to choose what I should take.
46260	52920	They should tell me that if you don't have much stress, then you go with RBI report.
53320	57060	If you feel that the market is going down in the future,
57060	62420	and the economy is deteriorating, then you take a fixed rate.
63260	68260	If you feel that the economy is going down and the interest rate is going to increase,
68380	70160	then you take a fixed rate.
71080	73260	Then you will get the benefit.
73660	77020	In the same way, I want to know what is the benefit for me,
77300	80480	or when should I choose it as a customer.
81760	83020	I don't want to use the legal language.
83020	83460	I don't want to use the legal language.
86060	87480	And when you take a fixed rate,
88060	91100	even if the fixed rate is 0.25 or higher,
92500	93580	that is also written there.
94280	96560	Yes, that is also written there.
96720	99800	0.25 is higher than the floating rate.
99940	102480	And that is only when the market is going down.
102940	104180	Then you are secured with good rates.
105400	107500	If you feel that the market is going down in India,
107940	108720	then you take a bet.
114180	117280	When our intelligence would suggest that
117280	122020	if India is going down, then you should not take a fixed rate.
123100	128260	floating rate is going to be a favorable term in the long term.
128920	130100	Ok, this is again the same, right?
131360	134800	Yes, it is the same.
135780	140660	Ok, this is also the same, right?
140700	141320	Yes, it is the same.
141320	142020	Yes, it is the same.
142300	147540	He is the bank.
147580	148820	He is the bank's attribute.
149800	150600	He is the bank's attribute.
150860	153700	Yes, he is the bank's attribute.
153860	154800	I don't even know the name of the scheme.
156640	158560	Unless a bank has multiple schemes.
159580	160160	There are multiple schemes.
160960	162180	But where are the multiple schemes?
162180	163820	Because the selections are not like that.
163960	167100	When you go up...
167100	168880	Like you had selected top-up, right?
172740	173420	Yes.
173420	174680	These are top-up schemes.
177100	178820	No, it is like this.
180760	181900	I take a home loan.
183820	185600	Or I take a top-up.
186440	188000	I am eligible for two schemes of the same bank.
190520	191040	Is it like that?
192160	193260	Yes, it is like that.
193260	196260	But top-up is only when you don't have a home loan.
196680	197680	No, no.
198080	201640	Either top-up selection or regular selection
201640	205260	means that you can use any bank of the same bank.
206660	208760	You can't use any bank of the same bank in this table.
209580	212280	At any point, only one scheme is applicable.
213060	215040	We don't need to know the name of the scheme.
216720	217140	Not upfront?
218100	218460	No.
220320	222180	At any point,
222180	224600	if there can be multiple schemes applicable,
225340	227500	then we need to know the name of the scheme
227500	231720	so we can decide which scheme to go through via.
243850	244430	Why did you decide that?
244430	248170	Because the customer only has to pay the bank off.
248690	249610	But there is no scheme.
250770	251250	No.
251570	254630	As long as there is only one scheme applicable at one time,
254970	256530	we don't need to know the name of the scheme.
257290	258930	And it won't happen twice.
259550	259890	No, no.
260310	263090	There are two schemes of SBI.
263990	266850	There is a scheme for general public and a special scheme for women.
267190	267890	Have you ever seen such a scheme?
268570	269450	No.
269650	271870	Then a woman will have the right profile
272150	273430	because she will be eligible for both schemes.
274370	274650	Correct?
276690	277370	Yes.
278130	279630	It is like this.
279750	281950	If you are a woman, then you can go through this scheme.
282290	284190	You can also go through this scheme.
284190	286510	If you go through this scheme, you will feel better.
286970	287570	You will feel better.
288590	291330	If you are a woman applicant,
291890	293290	then you can go through this scheme.
293750	296590	If you are a top-up applicant,
296730	297850	then you can go through this scheme.
297910	299290	Let's go through it now.
300170	301830	In Canada Bank's housing loan,
302510	303510	women are given discounts.
304410	305470	There are no different schemes.
305770	306730	But they have written that
306730	307990	this scheme is only for women.
308130	308970	No, no.
310090	312250	Many banks have schemes like this
312250	314650	that they have different schemes only for women.
315310	315490	Yes.
316010	317110	At that time,
317430	318690	women are also eligible through normal schemes.
320170	321790	And they are also eligible through women schemes.
323290	323370	Then,
323910	325650	what should we do in Himalaya?
327590	327830	That
327830	329430	these schemes,
329950	331070	there are multiple schemes,
331890	334270	but we select the best scheme
334270	335390	and show it.
335650	337110	Then we don't have to tell the name of the scheme.
339890	342090	If a woman is eligible through multiple schemes,
342990	343850	she must be aware
343850	345790	that two schemes should be selected.
347070	348360	PM Yojana
348790	350470	and SCM Yojana.
350550	351570	Both should be selected.
352230	354050	So, I am asking you
354050	357450	that we select the best scheme
358170	359170	Then we don't have to tell the name of the scheme.
360210	360850	Don't select the name of the scheme.
361310	362110	We don't have to add any information.
362110	366750	Yes, we don't have to do that.
382150	383710	So, our compare and apply product.
383810	385410	The comparison product is still there.
385590	387110	We have not taken it yet.
388690	390430	Home page and compare
391770	393510	is done so far.
